product,date,title,rating,body
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on October 24, 2020",Average sound quality - disappointing for the price,3.0,"I purchased these earbuds as my first expensive earbuds after years of purchasing under $120 earbuds. Every review stated that these Sony WF-1000XM3 earbuds are considered the best. I thought that as a treat for my wife, I would buy these for her and take back my $70 Anker Soundcore Liberty Lite (https://www.amazon.ca/Soundcore-Truly-Wireless-Sweatproof-Headphones-Graphene-Enhanced/dp/B07M8LNBNB), which are actually quite good.The first compared the sound quality between the two... imagine my utter disbelief that the Soundcores actually seem to sound better than the Sony earbuds. How is this possible? I was careful to ensure that I tested at a flat EQ.Update: After a few days of testing different genres of lossless (full quality) music between myself and two others (they didn't know the brand or the cost of the earbuds - to minimize bias), everyone agreed that the Anker earbuds sounded marginally better.What are the important differences between the Sony and Anker earbuds?Sony:Pros: Larger sound stage (but this quality improvement doesn't justify an additional $200). USB-C support.Cons: Almost 3x more costly. Less bass and treble range (at flat EQ), took about 40 minutes to setup with app configuration, and firmware update. No support for multipoint BT.Anker:Pros: Seems to sound like it has a wider frequency range from low base to high treble (at flat EQ). Much less expensive, smaller case with greater battery capacity, three white LEDs to indicate level of base battery, quicker to setup.Cons: smaller soundstage, no app for customization, older model (but I am thinking that the newest Anker Soundcore Liberty 2 Pro are even better).I really don't like returning Amazon purchases, but I just cannot justify the cost of these earbuds compared to the better sounding Anker earbuds.Two lessons learned:1) You get what you pay for isn't always true.2) Don't always assume that professional reviews are true or accurate. I purchased the Sony earbuds because all the pro reviewers were saying that these were the best!"
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on April 26, 2020",Not worth the money,2.0,"I was so looking forward to these ear buds.I have the Sony WH-1000Xm3 over the ear headphones and was expecting the same quality for these buds.Not so.The noise cancelling is minimal. Didn't cancel the vacuum cleaner or the tractor and chainsaw next door very much.Didn't like the fit. They stayed in my ear but were not all that comfortable.Whenever you go to tweak the fit , the slightest touch will change the noise cancelling setting or stop the play, hated that.The sound is ok the equalizer in the app helped a bit, but because of the fit the sound always sounded thin, like I needed to adjust the unit in my ear.The case needs a flat bottom imho. I would like to have been able to stand the case on a flat surface with the lid up, not lay it on it's side. Poor design if you ask me.I have to admit that I like my Soundpeats for $45 much better.These are just not worth the $$$ imho.So far the best bang for MY listening buck are the WH-1000Xm3 over the ear headphones.Give these buds a pass.Returned them."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on May 30, 2020",Do Not Buy!!,1.0,"I’ve been an unfortunate owner of one of these and after a few months and tons of firmware updates, resetting both headsets and my iPhone XS Max as well as their app updates, I came to conclusion that SONY truly sucks!!Terrible audio calls quality - Bluetooth disconnections - and is unable to even save its own audio settings!Noise cancellation?? Don’t let me go there!!Buy a $20 headset because they last longer and serve you much better - and if you don’t like it, you wouldn’t scratch your head what to do with $300+ piece of junk by SONY!!UPDATE on June 23, 2020:------------------------------I stand by my 1 STAR rate!Tried to live with this because after all I spent so much on it!A few useless firmware and painfully SLOW updates, things have gone from bad to terrible! It cannot even hold BT connection whether listening to music, watching Netflix, phone calls on either iPhone XS Max, iPad Pro 2019, Apple TV 4K, MacBook Air 2018, ASUS VivoBook running Win10 Pro!!I have reset my devices as well as this product over and over and over but nothing helped.Solution: Back to Apple AirPods Pro! YES, if you live in Apple walled-garden, then stay there! It's a jungle out there and SONY rules when it comes to selling overpriced useless junks!"
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on October 18, 2020",What you want to know. Are these better then the Apple AirPod Pros???,5.0,"Yes, definitely yes.Here's my comparison.I have the AirPod pro's, which I've decided to give to my wife, and the Sony WF1000XM3. I am really disappointed in the AirPods pro's noise-cancelling feature.  When I turn it on, seriously there is no difference in the sound coming in. It lets in everything. There is NO DIFFERENCE. Plus,  they keep falling out of my ear.When I heard the noise cancelling of the Sony's, WOW. The background noise floor just dropped away. The music quality, amazing to me. The bass (I like to have it much lower to protect my hearing) is great. To me, the sound quality is much better than the air pods at first sounding, requires a bit of adjusting. So wifie gets the air pods pro, she's happy. I get the Sony xm3's hubby happy. It's a win-win for me.BTW, the Sony case looks fine. I like the champagne accent colour. The silver version also looks nice. The look of the Sony ear pods themselves looks fine too. Yes, they are a bit larger but with that, you get more performance that comes with it. I want more features and performance any day. I mean, are you getting any dates cause you're wearing Apple AirPod pros??When it comes to sound to me:AirPods Pro: Flatter sound, more close to a record maybe, there is bass but it's not painful. It's at a good amount.WF1000xm3's: Out of the box it sounds great. More digitized than the AirPod Pros in that the sound seems more 3D with highs seemingly coming from different directions. Very good depth. The bass while good is a bit sharp. After a minute I get ear pain that I don't get with the AirPod pros. I'veComparing the two to me the Sony's seem to have more of just base and highs whereas the AirPod pros seem to be more balanced across the sound stage. The Sony's also seem to have more of a depth of sound, fuller sound stage then the AirPods. I believe Jay's correct in that at first glance the Sony's sound better but after a while may need some tweaking in the eq settings. I find the eq very helpful as it has a dedicated bass slider that helps in toning down the punchiness of the base.Overall. The Sony's definitely come out on top for me.Oh, the button controls on the AirPods are HORRIBLE. Rarely works the way and when you want. Sony's work great."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on May 12, 2020",Sony....What did you do?!,5.0,"I have to say thease blew me away, for some people say the noise cancelling was not good, some handy advice for them they give you multiple sets sizes...they give you a entire guide to explain how they need to fit....if you do it correctly....it works perfectly.The ear pecices fit in (my) ears perfectly to the point I'll forget I have them in....it gets to the point that it just sounds like your head litterly is playing a digital sound file directly to your brain....it's kinda freaky sometimes.I have very small to little pairing issues some discounts...but very few...The small pet peeve for this Bluetooth system, if you pair to your car...(yes don't earbud and drive) the ear pecices will disconnect...any device that connects to your phone that plays audio will override your earbuds.Other than that .. .sony.....you have created a masterpiece, the price is acceptable for what you receive. This is your new standard."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on November 23, 2020","Great hardware, software could use work",4.0,"Coming from a custom-molded earphone fitted to my ear, the passive noise cancellation doesn't hold up but it's adequate I guess.The active noise cancellation is a mixed bag. Most of the time it works great, but there's a number of different options you can choose from within the app and unfortunately they don't have a mode that's good for both noise cancellation and a wind filter at the same time. I find I have to choose between the two and this becomes a problem when you're walking in a wind tunnel environment. I find if I wear a hoody over the mic of the ear pieces that is greatly improves upon the wind filter, but for something in this price range you'd expect better algorithms to be able to completely filter that out.I've also haven't found a good way to listen to people around me even if I pause my music. I have to hold my finger on the touch control to boost their voices, which imo, should be the default behavior when the music is paused.The touch controls on the ear pieces are a nice feature, but I wish the app would give you more fine grained control. As-is, you can only select between different ""modes"" with their predefined actions. I would prefer to be able to pick and choose actions individually.Battery pretty much lasts forever in my use-cases. Unless I'm listening to music from the start of my day to the end of my work shift non-stop, I don't need to worry about battery life. Plus the quick charge basically makes it so you never need to care (assuming you're carrying the case with you).It comes with a bunch of different ear fittings to match your size. I find the default size fit me well in both hot and cold weather. Never had any problems with it falling out or becoming uncomfortable."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on November 22, 2019",It's not all that bad... but it's not great either.,3.0,"These TWS, man, what a ride.Originally preordered these 3 months ago, only to have Amazon.ca cancel it. Wasn't happy at all. Then a few weeks later the silver version had only a few units in stock so I pulled the trigger.First impressions **were not great**. Benson Leung said these are ""a little buggy"" - he wasn't joking. On the second time using it, the right earbud simply stopped working. No amount of putting them back into case, taking it back out, unpairing and re-pairing worked. Ended up performing a full factory reset. If I'm not a techie, I'd have returned these already.Earlier this month, that same right earbud lost connection and ""rebooted"" while, ironically, inside an Apple Store. I was like, ""what the hell is wrong with these things?""The comfort leaves something to be desired. The replaceable eartips are the only part of the earbuds that stay in the ear. You can't just put them on like you would every other pair of wired/wireless earbuds, as they will fall out. I've had them fall out twice. The ""correct"" way of putting these on is to orient the earbuds downwards as you put them into the ear, then twist them towards the front for a *slightly more secure grip*. You heard that right; they still aren't truly secure when worn this way. That's worse than the OG AirPods, which stay in the ear only because of direct contact with the skin and have no eartips to begin with.Charging case is big. Think one of those newer power banks with 2x 21700 cells in terms of relative size. Both the WI-C310 and SBH56 (both made by Sony) are smaller than the WF-1000xm3 all-in. At least it can be charged from a USB Type C power source, as opposed to so many cheap crap out there that have USB-C but require legacy USB-A to USB-C to charge.Noise cancellation is pretty good for a set of TWS. No complaints about sound quality. Battery life is similar to my experience with Apple's AirPods, as in, very rarely do I use them for so long that the low battery warning comes up.So why the 3-star rating?Apple released the AirPods Pro late last month to little fanfare, like the OG AirPods. Normally I'm not a fan: Apple refused to update the port to USB-C on their most current-year iPhones, and the AirPods also stayed on Lightning, so to use their latest $329 TWS I'd have to bring along a separate USB-C to Lightning cable just to charge them. Do not want. But someone on the /r/USBCHardware subreddit posted that IKEA has a 5W Qi wireless charger, **LIVBOJ**, which ended up being a no-brainer impulse buy because:1. not only does it have a native USB-C port for input, it also works with USB-C power sources and eMarked cables;2. the pad is the same size as a typical circular drink coaster; and3. it costs literally $8 with taxes.LIVBOJ turns the AirPods Pro into an USB-C-enabled TWS. Like the Xperia 1, the WF-1000xm3 has no wireless charging, so the value proposition of Sony's TWS became harder to justify. It's pretty good when it works, the problem is when it *doesn't*.It's hard to rate this more than 3 stars now that the 800-pound gorilla resolved the single biggest complaint with the OG AirPods, namely the lack of noise isolation/cancellation."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on April 12, 2020",They'd be mediocre if they worked. Don't waste your money.,2.0,"I like to leave reviews that are thoughtful and not biased by anger but this has been the most frustrating experience with a piece of technology I have ever had.Let's be clear, the purpose of earbuds is to connect to something and make noise. These do the opposite of that. Connecting is not difficult my phone, laptop, computer, watch, and everything else connect fine. The NFC chip speeds it up more. These buds do not, however, stay connected long enough to regularly finish a song. On top of that, the app does not recognize that they're connected to my phone if I've already connected them. I have to disconnect them, open the app, and then search for them while they're still in the case. There's definitely more things that are frustrated but those are minor in comparison to the literal inability to use them.The sound quality is good but max volume is quiter than average.Battery life is great. Sony has tried to tell me the connection issues are battery related. Sony is wrong; I haven't been able to use them for more than five minutes and the app says they are fully charged.My final note is on Sony themselves. Sony has the worst customer service I have ever experienced. I have spent 7 hours trying to get these, at the very least, repaired. That's enough time for me to have bought another pair. I would be fine with these problems if they'd solve them but Sony Is clearly incapable of response.I am frustrated and feel robbed. Please don't waste your money."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on December 19, 2020",Can't use for phone calls: Mic is too sensitive,2.0,"First, sound quality is fantastic. Music sounds great.BIG BUTIf there is absolutely any background noise, you can't make phone calls with these. The person on the other side of the call will hear every little sound, and they will find it very hard to hear you. Even the tiniest sounds get picked up and transmitted. Many friends have asked me to not call them if I am using these to make a phone call. I chatted with Sony support about this, this is what they said:Sony: ""We kindly inform you that your voice is heard from the headset through the headset’s microphone (Sidetone function). In this case, ambient sounds or the sounds of the headset operation may be heard through the headset, but this is not a malfunction... We kindly inform you that is not possible to disable the sidetone function on this device... The unit has a one year warranty, however as mentioned above the unit supports the sidetone function so you can hear your voice during a call, the unit does not support the filtering of background noise but the device can still be used to make phone calls because it has a microphone. ""My response: ""Yes but I can only make phone calls in a silent environment.  That was not mentioned in the product materials""Sony: ""I understand your concern and we apologize for the inconvenience but in this case you will required a professional headset designed to take calls in a working environment.""Me: ""You mean like Apple AirPods? Because those work, and you are advertising this as an alternative. Anyway, the advertising is misleading. You really can't make phone calls with this device. Really a shame. I was hoping you'd tell me about something I can do, but you're basically saying there's nothing I can do.""Sony:  ""We are truly sorry that the headset did not meet your expectations. This is the normal operation of the unit so is not a defect that is covered by the warranty. ""If you want to make phone calls, do not use these. Sony could probably fix this in firmware, to some degree, but it seems like they won't."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on July 27, 2020",Great headphones but not perfect,4.0,"These Sony wireless earbuds are the first ones I have ever bought so I cant really compare them to other brands and earbuds....What i can say is that they are very comfortable, having them on for hours is totally not a problem.Quality? Well Sony is definitely a reputable brand and they make great products. Construction of the Sony M3 headphones feel really nice, the charging case also feels like its made from quality material. The magnets inside the charging housing holds the earbuds in tight with the magnets inside.The sound quality blew my expectations out of the water. The clarity of the headphones really give these headphones the credit it deserves. The bass hits nice and couldn't be any happier.There are more positives to these headphones like the touch controls, battery, etc.....The only CON i have and which is why I deducted 1 star would be because of the annoying connection issues when paired. Many times my earbuds disconnect from my phone for no reason, and other times when only 1 headphones will work even after numerous attempts of resetting the earbuds by putting them inside the charging case.All in all, I feel like these Sony WF-1000XM3 are a great pair of earbuds, definitely worth purchasing especially if on sale."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on January 24, 2020",Excellent Sound Poor Software,4.0,"Crystal clear sound, excellent bass for such a small form factor. I would have rated these Earbuds a 5 star except for the ""Smart Listening"" adaptive sound control, which annoyingly announces in-ear that it is switching with a chime and a slight pause in sound. It's like the earbuds are announcing that it is doing something good and giving itself a pat on the back. It should be doing this seamlessly without the chime and pause. Every time I stand up or make a new movement while listening to music, it chimes and pauses the music.  For the high price, these earbuds should do their job without the need to interrupt my listening pleasure! I'm not a technical expert so I'm not sure if this can be corrected with a software update or if it's a hardware limitation issue."
"Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Earbuds, Black","Reviewed in Canada on February 22, 2020",Excellent sound and fit,4.0,"The sound is excellent with ANC.  The sound does lose some bass overtones when anc is off so need to tweak the equalizer.  I leave ANC on and enjoy the great soundstage.  The sound is much better than the Jabra 75t as far as fidelity and clarity, and soundstage.  The ear buds don't give you that  occlusion issue with blocked ears.  For me the fit is excellent (with the large silicones) and are secure.  Don't run with them so can't comment on how well they would stay.  I tried to like the Jabra but ended up returning them and staying with these for the sound quality.Cons.  Wish they allowed to have ambiant sound control as well as volume and track control at the same time on the button configurations.  Right now, you lose one set of control to have volume control on the button.Would also be nice that turning noise control off would not affect the overall sound like it does now.Overall , a great set of buds for the audiophile, commuter or casual listener.  Not so much for heavy activity with the potential for getting the buds wet."
